429882,二,3
429881,一,7
429880,一,5
429871,一,7
429870,一,5
429873,三,7
429889,二,7
429872,三,5
429888,二,5
429875,一,7
429887,二,7
429874,一,5
429886,二,5
429877,三,7
429885,二,5
429876,三,5
429884,二,3
429879,一,7
429883,二,5
429878,一,5
429891,二,7
429890,二,5
429893,二,7
429892,二,5
429904,三,5
429899,二,7
429905,三,7
429898,二,5
429902,三,3
429903,三,5
429908,三,5
429895,二,7
429909,三,7
429894,二,5
429906,三,3
429897,四,7
429907,三,3
429896,四,5
429901,三,5
429900,三,3
429912,四,5
429911,四,7
429910,四,5
429913,四,7
429914,四,5
429915,四,7
429882,二,3
429881,一,7
429880,一,5
429871,一,7
429870,一,5
429873,三,7
429889,二,7
429872,三,5
429888,二,5
429875,一,7
429887,二,7
429874,一,5
429886,二,5
429877,三,7
429885,二,5
429876,三,5
429884,二,3
429879,一,7
429883,二,5
429878,一,5
429891,二,7
429890,二,5
429893,二,7
429892,二,5
429904,三,5
429899,二,7
429905,三,7
429898,二,5
429902,三,3
429903,三,5
429908,三,5
429895,二,7
429909,三,7
429894,二,5
429906,三,3
429897,四,7
429907,三,3
429896,四,5
429901,三,5
429900,三,3
429912,四,5
429911,四,7
429910,四,5
429913,四,7
429914,四,5
429915,四,7
429882,二,3
429881,一,7
429880,一,5
429871,一,7
429870,一,5
429873,三,7
429889,二,7
429872,三,5
429888,二,5
429875,一,7
429887,二,7
429874,一,5
429886,二,5
429877,三,7
429885,二,5
429876,三,5
429884,二,3
429879,一,7
429883,二,5
429878,一,5
429891,二,7
429890,二,5
429893,二,7
429892,二,5
429904,三,5
429899,二,7
429905,三,7
429898,二,5
429902,三,3
429903,三,5
429908,三,5
429895,二,7
429909,三,7
429894,二,5
429906,三,3
429897,四,7
429907,三,3
429896,四,5
429901,三,5
429900,三,3
429912,四,5
429911,四,7
429910,四,5
429913,四,7
429914,四,5
429915,四,7
